Smiles,SiTX,Batch
Cc1ncsc1-c1ccc(C2(NC(=O)C3CC(O)CN3C(=O)C(NC(=O)c3ccc(COc4c(-c5c(C)c(F)cc6[nH]ncc56)c(C5CC5)cc5c(N6CC7CC6CN7)nc(OC6CCOCC6)nc45)cc3)C(C)C)CC2)cc1,SiTX-0060105,001
Cc1ncsc1-c1ccc(C2(NC(=O)C3CC(O)CN3C(=O)C(C(C)C)n3cc(-c4ccc(COc5c(-c6c(C)c(F)cc7[nH]ncc67)c(C6CC6)cc6c(N7CC8CC7CN8)nc(OC7CCOCC7)nc56)cc4)nn3)CC2)cc1,SiTX-0060106,001
